ptsmemory-06012016

 ,"Intel Core 2 Duo P9xxx"
Processor,24 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (24 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,49152MB
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.12.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"Intel Core 2 Duo P9xxx"
"RAMspeed SMP - Integer Add",3810.79
"RAMspeed SMP - Integer Copy",3867.56
"RAMspeed SMP - Integer Scale",3893.49
"RAMspeed SMP - Floating-Point Add",3964.42
"Stream - Add",7826.71
"Stream - Copy",7611.41
"Stream - Scale",7533.08
"CacheBench - Read Cache",1767.67
"CacheBench - Write Cache",5283.18

